id;name;suhu;kelembaban;cahaya;keran;date;;;;;;;
1341;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
1342;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
1343;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
1344;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
1345;syarif;27;95;0;67.05.00;20/07/20 10.42;;;;;;;
1346;syarif;27;95;0;67.05.00;20/07/20 10.43;;;;;;;
1347;syarif;27;95;0;67.05.00;20/07/20 10.43;;;;;;;
1348;syarif;27;95;0;67.05.00;20/07/20 10.43;;;;;;;
1349;syarif;27;95;0;0;20/07/20 10.43;;;;;;;
1350;syarif;26;95;0;56.25.00;20/07/20 10.43;;;;;;;
1351;syarif;26;95;0;56.25.00;20/07/20 10.43;;;;;;;
1352;syarif;26;95;0;56.25.00;20/07/20 10.43;;;;;;;
1353;syarif;27;95;0;67.05.00;20/07/20 10.43;;;;;;;
1354;syarif;26;95;0;56.25.00;20/07/20 10.44;;;;;;;
1355;syarif;26;95;0;56.25.00;20/07/20 10.44;;;;;;;
1356;syarif;27;95;0;67.05.00;20/07/20 10.44;;;;;;;
1357;syarif;27;95;0;67.05.00;20/07/20 10.44;;;;;;;
1358;syarif;27;95;0;0;20/07/20 10.44;;;;;;;
